timestamp,date,latitude,longitude
1636405190,"2021-11-08 20:59:50",46.733994,-117.167892
1636405209,"2021-11-08 21:00:09",46.733469,-117.167778
1636405241,"2021-11-08 21:00:41",46.733207,-117.16796
1636405275,"2021-11-08 21:01:15",46.73263,-117.168049
1636405305,"2021-11-08 21:01:45",46.732472,-117.167274
1636405339,"2021-11-08 21:02:19",46.73197,-117.167124
1636405369,"2021-11-08 21:02:49",46.731883,-117.166659
1636405400,"2021-11-08 21:03:20",46.731343,-117.166752
1636405430,"2021-11-08 21:03:50",46.730974,-117.167015
1636405461,"2021-11-08 21:04:21",46.730609,-117.167503
1636405494,"2021-11-08 21:04:54",46.730736,-117.167025
1636408459,"2021-11-08 21:54:19",46.730774,-117.166896
1636408802,"2021-11-08 22:00:02",46.730686,-117.167445
1636408878,"2021-11-08 22:01:18",46.730163,-117.168073
1636408894,"2021-11-08 22:01:34",46.730818,-117.167318
1636408910,"2021-11-08 22:01:50",46.730427,-117.173665
1636408924,"2021-11-08 22:02:04",46.730747,-117.167432
1636408954,"2021-11-08 22:02:34",46.731036,-117.167362
1636409015,"2021-11-08 22:03:35",46.731686,-117.167582
1636409037,"2021-11-08 22:03:57",46.731332,-117.16683
1636409045,"2021-11-08 22:04:05",46.731893,-117.167665
1636409068,"2021-11-08 22:04:28",46.732483,-117.167407
1636409074,"2021-11-08 22:04:34",46.732189,-117.167916
1636409102,"2021-11-08 22:05:02",46.73266,-117.1681
1636409164,"2021-11-08 22:06:04",46.733213,-117.167973
1636409194,"2021-11-08 22:06:34",46.733515,-117.167941
1636409224,"2021-11-08 22:07:04",46.733832,-117.167846
1636409284,"2021-11-08 22:08:04",46.734473,-117.167887
1636409314,"2021-11-08 22:08:34",46.734881,-117.167806
1636409344,"2021-11-08 22:09:04",46.735259,-117.16796
1636409374,"2021-11-08 22:09:34",46.735597,-117.16824
1636409404,"2021-11-08 22:10:04",46.735944,-117.168277
1636409434,"2021-11-08 22:10:34",46.736239,-117.168307
1636409450,"2021-11-08 22:10:50",46.735968,-117.167933
1636409464,"2021-11-08 22:11:04",46.736599,-117.168231
1636409482,"2021-11-08 22:11:22",46.736337,-117.167925
1636409494,"2021-11-08 22:11:34",46.737004,-117.168109
1636409513,"2021-11-08 22:11:53",46.737267,-117.167889
1636409544,"2021-11-08 22:12:24",46.738108,-117.168229
1636409672,"2021-11-08 22:14:32",46.738508,-117.169429
1636409704,"2021-11-08 22:15:04",46.738297,-117.167949
1636409734,"2021-11-08 22:15:34",46.738795,-117.167066
1636409764,"2021-11-08 22:16:04",46.738945,-117.166433
1636409794,"2021-11-08 22:16:34",46.739044,-117.165923
1636409824,"2021-11-08 22:17:04",46.739312,-117.165324
1636409854,"2021-11-08 22:17:34",46.739446,-117.164855
1636409884,"2021-11-08 22:18:04",46.739609,-117.164373
1636409914,"2021-11-08 22:18:34",46.739928,-117.163918
1636409944,"2021-11-08 22:19:04",46.740055,-117.163382
1636409974,"2021-11-08 22:19:34",46.740142,-117.162887
1636410004,"2021-11-08 22:20:04",46.740192,-117.162291
1636410034,"2021-11-08 22:20:34",46.740225,-117.161808
1636410064,"2021-11-08 22:21:04",46.740533,-117.161645
1636410095,"2021-11-08 22:21:35",46.740735,-117.161291
1636410153,"2021-11-08 22:22:33",46.740317,-117.160927
1636410184,"2021-11-08 22:23:04",46.740563,-117.161704
1636410215,"2021-11-08 22:23:35",46.740412,-117.162549
1636410754,"2021-11-08 22:32:34",46.740468,-117.162498
1636414177,"2021-11-08 23:29:37",46.74046,-117.162506
1636414335,"2021-11-08 23:32:15",46.740143,-117.162441
1636414390,"2021-11-08 23:33:10",46.740465,-117.162499
1636415269,"2021-11-08 23:47:49",46.740465,-117.162499
1636419202,"2021-11-09 00:53:22",46.740465,-117.162499
1636421463,"2021-11-09 01:31:03",46.740465,-117.162494
1636422366,"2021-11-09 01:46:06",46.740465,-117.162494
1636423443,"2021-11-09 02:04:03",46.740456,-117.162514
1636426440,"2021-11-09 02:54:00",46.740465,-117.162498
1636428194,"2021-11-09 03:23:14",46.740474,-117.16249
1636429101,"2021-11-09 03:38:21",46.740474,-117.162489
1636431904,"2021-11-09 04:25:04",46.740465,-117.162495
1636434428,"2021-11-09 05:07:08",46.740592,-117.162517
1636437334,"2021-11-09 05:55:34",46.740592,-117.162517
1636438768,"2021-11-09 06:19:28",46.740592,-117.162517
1636441691,"2021-11-09 07:08:11",46.740471,-117.162502
1636444619,"2021-11-09 07:56:59",46.740471,-117.162502
1636447484,"2021-11-09 08:44:44",46.740471,-117.162502
1636449196,"2021-11-09 09:13:16",46.740468,-117.162492
1636449228,"2021-11-09 09:13:48",46.740866,-117.162564
1636451905,"2021-11-09 09:58:25",46.740866,-117.162564
1636451907,"2021-11-09 09:58:27",46.740471,-117.162488
1636452935,"2021-11-09 10:15:35",46.740471,-117.162479
1636456366,"2021-11-09 11:12:46",46.740475,-117.162487
1636460299,"2021-11-09 12:18:19",46.740467,-117.162474
1636463206,"2021-11-09 13:06:46",46.740474,-117.162491
1636466162,"2021-11-09 13:56:02",46.740474,-117.162491
1636469090,"2021-11-09 14:44:50",46.740474,-117.162491
1636470500,"2021-11-09 15:08:20",46.740473,-117.162496
1636474252,"2021-11-09 16:10:52",46.740608,-117.162545
1636477008,"2021-11-09 16:56:48",46.740608,-117.162545
1636479943,"2021-11-09 17:45:43",46.740608,-117.162545
1636482031,"2021-11-09 18:20:31",46.740465,-117.162506
1636484131,"2021-11-09 18:55:31",46.740633,-117.162375
1636484872,"2021-11-09 19:07:52",46.740471,-117.162507
1636485239,"2021-11-09 19:13:59",46.740082,-117.16227
1636485268,"2021-11-09 19:14:28",46.740479,-117.162609
1636485389,"2021-11-09 19:16:29",46.740256,-117.162203
1636485419,"2021-11-09 19:16:59",46.740718,-117.16249
1636485449,"2021-11-09 19:17:29",46.74031,-117.162437
1636486110,"2021-11-09 19:28:30",46.740574,-117.162537
1636489472,"2021-11-09 20:24:32",46.740484,-117.162607
1636489725,"2021-11-09 20:28:45",46.740482,-117.162638
1636491202,"2021-11-09 20:53:22",46.740436,-117.162433
1636491690,"2021-11-09 21:01:30",46.740264,-117.161333
1636491751,"2021-11-09 21:02:31",46.740386,-117.160132
1636491810,"2021-11-09 21:03:30",46.740387,-117.15919
1636491840,"2021-11-09 21:04:00",46.740293,-117.158769
1636491870,"2021-11-09 21:04:30",46.740309,-117.158208
1636491900,"2021-11-09 21:05:00",46.740001,-117.157742
1636491930,"2021-11-09 21:05:30",46.739997,-117.157205
1636491954,"2021-11-09 21:05:54",46.73973,-117.155813
1636491960,"2021-11-09 21:06:00",46.73998,-117.156394
1636491990,"2021-11-09 21:06:30",46.739835,-117.155969
1636492015,"2021-11-09 21:06:55",46.742205,-117.157732
1636492020,"2021-11-09 21:07:00",46.739984,-117.15564
1636492047,"2021-11-09 21:07:27",46.739654,-117.155449
1636492080,"2021-11-09 21:08:00",46.739309,-117.15523
1636492110,"2021-11-09 21:08:30",46.738886,-117.155452
1636492140,"2021-11-09 21:09:00",46.738619,-117.155825
1636492170,"2021-11-09 21:09:30",46.738302,-117.1558
1636492201,"2021-11-09 21:10:01",46.737961,-117.155962
1636492230,"2021-11-09 21:10:30",46.7376,-117.155926
1636492260,"2021-11-09 21:11:00",46.737204,-117.156147
1636492320,"2021-11-09 21:12:00",46.736669,-117.156921
1636492350,"2021-11-09 21:12:30",46.736359,-117.157019
1636492381,"2021-11-09 21:13:01",46.736,-117.15748
1636492410,"2021-11-09 21:13:30",46.735727,-117.157381
1636492440,"2021-11-09 21:14:00",46.73531,-117.156989
1636492470,"2021-11-09 21:14:30",46.734938,-117.157207
1636492524,"2021-11-09 21:15:24",46.732703,-117.159107
1636492530,"2021-11-09 21:15:30",46.73455,-117.157606
1636492590,"2021-11-09 21:16:30",46.733887,-117.158091
1636492650,"2021-11-09 21:17:30",46.733496,-117.158482
1636492681,"2021-11-09 21:18:01",46.73305,-117.158834
1636492710,"2021-11-09 21:18:30",46.732587,-117.15832
1636492740,"2021-11-09 21:19:00",46.732328,-117.158589
1636492770,"2021-11-09 21:19:30",46.731966,-117.158908
1636492801,"2021-11-09 21:20:01",46.731431,-117.15876
1636492860,"2021-11-09 21:21:00",46.730909,-117.159066
1636492891,"2021-11-09 21:21:31",46.730339,-117.159462
1636492921,"2021-11-09 21:22:01",46.730165,-117.160095
1636492950,"2021-11-09 21:22:30",46.729851,-117.159647
1636492980,"2021-11-09 21:23:00",46.729524,-117.159942
1636493010,"2021-11-09 21:23:30",46.729328,-117.160524
1636493041,"2021-11-09 21:24:01",46.728889,-117.160944
1636493070,"2021-11-09 21:24:30",46.728879,-117.161507
1636493100,"2021-11-09 21:25:00",46.728605,-117.16184
1636493126,"2021-11-09 21:25:26",46.72867,-117.162368
1636493158,"2021-11-09 21:25:58",46.728592,-117.163022
1636493189,"2021-11-09 21:26:29",46.728155,-117.163383
1636493221,"2021-11-09 21:27:01",46.72795,-117.163972
1636493250,"2021-11-09 21:27:30",46.72823,-117.164365
1636493280,"2021-11-09 21:28:00",46.727793,-117.164978
1636493309,"2021-11-09 21:28:29",46.727981,-117.165486
1636493365,"2021-11-09 21:29:25",46.728057,-117.165906
